Time_s,Speed_kmh,Phase
0,0.0,Low
1,0.0,Low
2,0.0,Low
3,0.0,Low
4,0.0,Low
5,0.0,Low
6,0.0,Low
7,0.0,Low
8,0.0,Low
9,0.0,Low
10,0.0,Low
11,0.0,Low
12,0.2,Low
13,1.7,Low
14,5.4,Low
15,9.9,Low
16,13.1,Low
17,16.9,Low
18,21.7,Low
19,26.0,Low
20,27.5,Low
21,28.1,Low
22,28.3,Low
23,28.8,Low
24,29.1,Low
25,30.8,Low
26,31.9,Low
27,34.1,Low
28,36.6,Low
29,39.1,Low
30,41.3,Low
31,42.5,Low
32,43.3,Low
33,43.9,Low
34,44.4,Low
35,44.5,Low
36,44.2,Low
37,42.7,Low
38,39.9,Low
39,37.0,Low
40,34.6,Low
41,32.3,Low
42,29.0,Low
43,25.1,Low
44,22.2,Low
45,20.9,Low
46,20.4,Low
47,19.5,Low
48,18.4,Low
49,17.8,Low
50,17.8,Low
51,17.4,Low
52,15.7,Low
53,13.1,Low
54,12.1,Low
55,12.0,Low
56,12.0,Low
57,12.0,Low
58,12.3,Low
59,12.6,Low
60,14.7,Low
61,15.3,Low
62,15.9,Low
63,16.2,Low
64,17.1,Low
65,17.8,Low
66,18.1,Low
67,18.4,Low
68,20.3,Low
69,23.2,Low
70,26.5,Low
71,29.8,Low
72,32.6,Low
73,34.4,Low
74,35.5,Low
75,36.4,Low
76,37.4,Low
77,38.5,Low
78,39.3,Low
79,39.5,Low
80,39.0,Low
81,38.5,Low
82,37.3,Low
83,37.0,Low
84,36.7,Low
85,35.9,Low
86,35.3,Low
87,34.6,Low
88,34.2,Low
89,31.9,Low
90,27.3,Low
91,22.0,Low
92,17.0,Low
93,14.2,Low
94,12.0,Low
95,9.1,Low
96,5.8,Low
97,3.6,Low
98,2.2,Low
99,0.0,Low
100,0.0,Low
101,0.0,Low
102,0.0,Low
103,0.0,Low
104,0.0,Low
105,0.0,Low
106,0.0,Low
107,0.0,Low
108,0.0,Low
109,0.0,Low
110,0.0,Low
111,0.0,Low
112,0.0,Low
113,0.0,Low
114,0.0,Low
115,0.0,Low
116,0.0,Low
117,0.0,Low
118,0.0,Low
119,0.0,Low
120,0.0,Low
121,0.0,Low
122,0.0,Low
123,0.0,Low
124,0.0,Low
125,0.0,Low
126,0.0,Low
127,0.0,Low
128,0.0,Low
129,0.0,Low
130,0.0,Low
131,0.0,Low
132,0.0,Low
133,0.0,Low
134,0.0,Low
135,0.0,Low
136,0.0,Low
137,0.0,Low
138,0.2,Low
139,1.9,Low
140,6.1,Low
141,11.7,Low
142,16.4,Low
143,18.9,Low
144,19.9,Low
145,20.8,Low
146,22.8,Low
147,25.4,Low
148,27.7,Low
149,29.2,Low
150,29.8,Low
151,29.4,Low
152,27.2,Low
153,22.6,Low
154,17.3,Low
155,13.3,Low
156,12.0,Low
157,12.6,Low
158,14.1,Low
159,17.2,Low
160,20.1,Low
161,23.4,Low
162,25.5,Low
163,27.6,Low
164,29.5,Low
165,31.1,Low
166,32.1,Low
167,33.2,Low
168,35.2,Low
169,37.2,Low
170,38.0,Low
171,37.4,Low
172,35.1,Low
173,31.0,Low
174,27.1,Low
175,25.3,Low
176,25.1,Low
177,25.9,Low
178,27.8,Low
179,29.2,Low
180,29.6,Low
181,29.5,Low
182,29.2,Low
183,28.3,Low
184,26.1,Low
185,23.6,Low
186,21.0,Low
187,18.9,Low
188,17.1,Low
189,15.7,Low
190,14.5,Low
191,13.7,Low
192,12.9,Low
193,12.5,Low
194,12.2,Low
195,12.0,Low
196,12.0,Low
197,12.0,Low
198,12.0,Low
199,12.5,Low
200,13.0,Low
201,14.0,Low
202,15.0,Low
203,16.5,Low
204,19.0,Low
205,21.2,Low
206,23.8,Low
207,26.9,Low
208,29.6,Low
209,32.0,Low
210,35.2,Low
211,37.5,Low
212,39.2,Low
213,40.5,Low
214,41.6,Low
215,43.1,Low
216,45.0,Low
217,47.1,Low
218,49.0,Low
219,50.6,Low
220,51.8,Low
221,52.7,Low
222,53.1,Low
223,53.5,Low
224,53.8,Low
225,54.2,Low
226,54.8,Low
227,55.3,Low
228,55.8,Low
229,56.2,Low
230,56.5,Low
231,56.5,Low
232,56.2,Low
233,54.9,Low
234,52.9,Low
235,51.0,Low
236,49.8,Low
237,49.2,Low
238,48.4,Low
239,46.9,Low
240,44.3,Low
241,41.5,Low
242,39.5,Low
243,37.0,Low
244,34.6,Low
245,32.3,Low
246,29.0,Low
247,25.1,Low
248,22.2,Low
249,20.9,Low
250,20.4,Low
251,19.5,Low
252,18.4,Low
253,17.8,Low
254,17.8,Low
255,17.4,Low
256,15.7,Low
257,14.5,Low
258,15.4,Low
259,17.9,Low
260,20.6,Low
261,23.2,Low
262,25.7,Low
263,28.7,Low
264,32.5,Low
265,36.1,Low
266,39.0,Low
267,40.8,Low
268,42.9,Low
269,44.4,Low
270,45.9,Low
271,46.0,Low
272,45.6,Low
273,45.3,Low
274,43.7,Low
275,40.8,Low
276,38.0,Low
277,34.4,Low
278,30.9,Low
279,25.5,Low
280,21.4,Low
281,20.2,Low
282,22.9,Low
283,26.6,Low
284,30.2,Low
285,34.1,Low
286,37.4,Low
287,40.7,Low
288,44.0,Low
289,47.3,Low
290,49.2,Low
291,49.8,Low
292,49.2,Low
293,48.1,Low
294,47.3,Low
295,46.8,Low
296,46.7,Low
297,46.8,Low
298,47.1,Low
299,47.3,Low
300,47.3,Low
301,47.1,Low
302,46.6,Low
303,45.8,Low
304,44.8,Low
305,43.3,Low
306,41.8,Low
307,40.8,Low
308,40.3,Low
309,40.1,Low
310,39.7,Low
311,39.2,Low
312,38.5,Low
313,37.4,Low
314,36.0,Low
315,34.4,Low
316,33.0,Low
317,31.7,Low
318,30.0,Low
319,28.0,Low
320,26.1,Low
321,25.6,Low
322,24.9,Low
323,24.9,Low
324,24.3,Low
325,23.9,Low
326,23.9,Low
327,23.6,Low
328,23.3,Low
329,20.5,Low
330,17.5,Low
331,16.9,Low
332,16.7,Low
333,15.9,Low
334,15.6,Low
